,lv,mv,ward,county,area_type
382,37.78659225,7.898663565,Northkarachuonyo,Homabay,Urban
383,46.39923114,190.4184522,Abakaile,Garissa,SR
384,29.84863375,3.811491292,Wemilabi,Vihiga,Urban
385,42.69883346,10.98574991,Matayossouth,Busia,Non-NR
386,47.10381471,20.85081072,Soin,Nakuru,Non-NR
387,44.91692947,8.305409932,Misikhu,Bungoma,Non-NR
388,51.157149,11.31915175,Sango,Kakamega,Non-NR
389,28.62599504,5.958651363,Magutu,Nyeri,Urban
390,31.12085727,38.98773248,Garsensouth,Tanariver,NR
391,15.74627459,0,Kivumbini,Nakuru,Urban
392,30.52564128,7.348959215,Sololo,Marsabit,Urban
393,34.7606129,83.76384563,Sala,Tanariver,NR
394,42.21440095,7.405908756,Birongo,Kisii,Non-NR
395,48.69864139,11.38805946,Etenje,Kakamega,Non-NR
396,39.10528668,8.335697129,Kibiri,Homabay,Non-NR
397,55.06944864,18.36142261,Ziwa,Uasingishu,Non-NR
398,38.36404708,6.651865719,Kamukuywa,Bungoma,Urban
399,42.83167275,7.861094965,Gesima,Nyamira,Non-NR
400,89.6845423,59.46905585,Mui,Kitui,SR
401,30.99970793,5.185409305,Tambua,Vihiga,Urban
402,54.93919048,18.13105518,Malabasouth,Busia,Non-NR
403,34.30017168,6.143801743,Lusheyalubinu,Kakamega,Urban
404,17.66926207,0.455205176,Likoni,Mombasa,Urban
405,25.25355359,2.867667547,Railways,Kisumu,Urban
406,42.85092469,8.214686738,Westnalondo,Bungoma,Non-NR
407,42.56290031,6.490171756,Isukhasouth,Kakamega,Non-NR
408,60.24791414,25.06391057,Ndithini,Machakos,Non-NR
409,29.84364716,945.4123584,Basuba,Lamu,NR
410,44.87418952,10.32796484,Cheptais,Bungoma,Non-NR
411,17.37524942,1.275108553,Uthiruruthimitu,Nairobi,Urban
412,20.80258825,0.820210709,Kitutucentral,Kisii,Urban
413,35.33565348,7.582133873,Kiptuya,Nandi,Urban
414,31.50835579,8.669490597,Kinyona,Murang'A,Urban
415,26.10541059,5.4487429,Kirimani,Embu,Urban
416,34.77093587,7.839400378,Southwestkisumu,Kisumu,Urban
417,26.06498145,4.331864091,Lanetumoja,Nakuru,Urban
418,17.41934228,1.335378384,Maringohamza,Nairobi,Urban
419,108.1310572,54.34357907,Kikumbulyunorth,Makueni,SR
420,20.3677833,1.168159478,Bullampya,Mandera,Urban
421,44.10091604,8.02538129,Basicentral,Kisii,Non-NR
422,54.89311299,19.39097614,Sagamian,Narok,Non-NR
423,32.3744723,8.235722218,Westsakwa,Migori,Urban
424,74.38420889,568.2757943,Silale,Baringo,SR
425,87.49033515,37.13951902,Kibauni,Machakos,SR
426,45.86774332,7.946006663,Kiamokama,Kisii,Non-NR
427,32.72542218,6.20212663,Kolwaeast,Kisumu,Urban
428,98.78081986,57.14299124,Kiambere,Embu,SR
429,18.54941762,1.317450216,Nairobiwest,Nairobi,Urban
430,26.99175952,5.713595486,Iriaini,Nyeri,Urban
431,23.52836513,4.766664193,Ikinu,Kiambu,Urban
432,36.15361581,6.415890815,Bukembeeast,Bungoma,Urban
433,23.10540273,2.885352656,Mumiascentral,Kakamega,Urban
434,44.71035196,15.94718875,Wagberi,Wajir,Non-NR
435,58.16290694,16.62950096,Ndanaiabosi,Bomet,Non-NR
436,36.52248908,6.873810286,Southeastnyakach,Kisumu,Urban
437,51.58926962,58.4732171,Sugutamarmar,Samburu,SR
438,102.8930601,97.21406508,Tharaka,Kitui,SR
439,31.09034976,4.796897026,Banja,Vihiga,Urban
440,76.1800937,114.9072038,Kodich,Westpokot,SR
441,68.32913574,20.34901509,Ukia,Makueni,Non-NR
442,37.9102377,7.583537463,Kibiri,Homabay,Urban
443,30.11801221,2.746117931,Labasigale,Garissa,Urban
444,29.70671962,5.032093473,Maramacentral,Kakamega,Urban
445,12.34129736,0,Huruma,Nairobi,Urban
446,19.79751744,1.512684984,Shirere,Kakamega,Urban
447,64.22106699,17.25251073,Siongiroi,Bomet,Non-NR
448,57.66821648,25.23411991,Tambach,Elgeyomarakwet,Non-NR
449,58.34245774,16.71557527,Kiiruanaari,Meru,Non-NR
450,47.55461098,9.986103088,Mihuu,Bungoma,Non-NR
451,41.93773231,9.635502647,Westkarachuonyo,Homabay,Non-NR
452,33.52566309,6.780682192,Rusingaisland,Homabay,Urban
453,43.15140323,17.30562414,Ramisi,Kwale,Non-NR
